English,Telugu
Did he have a gun?,అతను ఒక తుపాకీ కలిగి తెలుసా?
"I can meet him alone, if you're busy.","మీరుబిజీగాఉంటేనేను,ఒక్క అతనిని కలుసుకోగలరు"
There you go again.,అక్కడ మీరు మళ్ళీ వెళ్ళి.
"Amen, amen","ఆమెన్,ఆమెన్"
I got this door.,నేను ఈ తలుపు వచ్చింది.
Ten bucks?,పది బక్స్?
I'm not waiting around for that loser.,నేను ఓటమి కోసం చుట్టూ వేచి లేదు.
"Goodbye, Rance.","గుడ్బై, Rance."
How's your wife?,మీ భార్య ఎలా?
YOU'VE GOT A SECOND CHANCE.,మీరు SECOND CHANCE గాట్.
WRITE-OFF.,వ్రాయండి-OFF.
"But still, we did our job and we got set up.","కానీ ఇప్పటికీ, మేము మా ఉద్యోగం చేసాడు మరియు మేము ఏర్పాటు కాకముందు."
Need a lift into town.,పట్టణం ఒక లిఫ్ట్ అవసరమా.
"What is your real name, then?",అప్పుడు మీ అసలు పేరు ఏమిటి?
"- Lynne. This ain't just for your protection, you know.","Lynne, ఈ మీ రక్షణ కోసం కేవలం కాదు, మీరు తెలిసిన."
That was a squeeze test.,ఒక స్క్వీజ్ పరీక్ష.
"Love and Hate, an explosive mixture.",", ఒక పేలుడు మిశ్రమం లవ్ అండ్ హేట్."
Ha-ha-ha.,హ హ-ha
Who the hell is this kid?,నరకం ఈ పిల్లలో ఎవరు?
And it doesn't matter where,ఇదిపట్టింపులేదుపేరు
They have his photo.,వారు అతని ఫోటో.
You'd better keep movin'...,మీరు మంచి 'మోవిన్ కొనసాగిస్తామని...
"Oh, Greg.",గ్రెగ్.
He's the funniest.,అతను హాస్యపూరిత ఉంది.
If I hadn't gotten there...,నేను అక్కడ సంపాదించిన కాకపోయి ఉంటే...
"You have reached the voicemail of Patterson Law Group, please leave a message after the tone.","మీరు, పట్టేర్సన్లా గ్రూప్వాయిస్మెయిల్ చేరుకున్నారు టోన్తర్వాతఒకసందేశాన్ని చేయండి"
( audience laughing ),(ప్రేక్షకుల నవ్వుతున్నారు)
- What took you so long?,- మీరు చాలా సమయం పట్టింది ఏమి?
You mean you don't want me to hit you with this?,మీరు నాకు ఈ మీకు హిట్ వద్దు అర్థం?
- A hooker.,- వేశ్యల.
- WHAT?,- WHAT?
I must've done somethin' good.,నేనుసంథింగ్మంచిపూర్తిmust 've
And that's where you come in.,మీరు సైన్ వస్తాయి ఆ యొక్క
It's just... (GROANS),అది అంతే... (GROANS)
One that's never been on your back.,మీ వెనుక ఎన్నడూ ఆ ఒక.
[ PAPER FLUTTERS ],[కాగితం flutters]
I just talked to him.,నేను అతనితో మాట్లాడి.
You look like Morgan Freeman if he was a transvestite.,అతను ఒక సెక్స్ మార్పిడి చేయిన్చుక్కొన్న ఉంటే మీరు మోర్గాన్ ఫ్రీమాన్ కనిపిస్తుంది.
"I got my hair cut every 3,000 miles.","నా జుట్టు కట్ ప్రతి 3,000 మైళ్లు వచ్చింది."
He is lost.,అతను కోల్పోతే.
Equipment check!,సామగ్రి చెక్!
There's only one way you're gonna find happiness.,మీరుఆనందాన్నికనుగొనలేదుగొన్న ఉంటాయి ఒకే ఒక మార్గం ఉంది
What up man?,ఏం వ్యక్తి?
He had a very rough day.,అతను చాలా కఠినమైన రోజు వచ్చింది.
"Five minutes, sir.","ఐదు నిమిషాలు, సర్."
"Stop, stop!","ఆపడానికి, ఆపు!"
You do?,మీరు ?
"Big booties and money falling', y'all.","బిగ్ booties మరియు డబ్బు ఫాలిన్ ', వై' ఆల్."
My apologies.,నా క్షమాపణలు.
"Oh, about five hours, I guess.","ఓహ్, ఐదు గంటల, l అంచనా."
Are you following us?,మీరు మాకు అనుసరిస్తున్నారు?
- Getting matching tattoos.,- సరిపోలే పచ్చబొట్లు పొందడం.
"You know you're eating sheep's balls, don't you?","(Whispers) మీరు, మీరు గొర్రెల బంతుల్లో తినడం లేదు తెలుసు?"
For me.,నాకు.
We are extremely honored to be selling,మేము విక్రయించేందుకు సన్మానించారు చాలా ఉన్నాయి
How'd you end up on the curb?,How'd మీరు కాలిబాటలు న ముగింపు?
For me?,నాకు?
"You gave it a good shot, Mike.","మైక్, అది ఒక మంచి షాట్ ఇచ్చింది."
We're different people now.,. = = మేము వివిధ ప్రజలు ఇప్పుడు.
It doesn't make sense.,ఇది అర్ధవంతం లేదు.
Praise God.,దేవునికి స్తోత్రము.
You're interesting.,మీరు ఆసక్తికరమైన ఉన్నాయి.
"There's a nice bit of wool on that, actually.",నిజానికి ఆ ఉన్ని There'sa nice బిట్.
Just listen.,జస్ట్ వినండి.
"Believe me, I followed the instructions.","నాకు బిలీవ్, నేను సూచనలను తరువాత."
"It was then I received the Victoria Cross, for bravery above and beyond the call of duty.","ఇది నేను విక్టోరియా క్రాస్ పొందింది అప్పుడు, కాల్ ఆఫ్ డ్యూటీ పైన మరియు దాటి వీరత్వానికి."
- Liar!,- లయర్!
You know the regulations.,మీరు నిబంధనలు తెలుసు.
- That's all for now.,- ఆ ఇప్పుడు
It'll all work itself out.,ఇది అన్ని కూడా పని చేస్తాము.
I'm just trying to be nice.,నేను nice ఉంటుంది ప్రయత్నిస్తాను.
"I'm sorry, Rama.","నేను, క్షమించండి రామ am."
"It was me, Colonel.","ఇది కల్నల్, నాకు ఉంది."
I don't see the point.,నేను పాయింట్ చూడండి లేదు.
I'm all about making that money.,నేనుఆ డబ్బుసంపాదించడంగురించివద్ద
I love Sicily.,నేను సిసిలీ ప్రేమ.
You are not in debt to me more.,మీరు నాకు మరింత అప్పు లేని.
And she knows if this goes on there can be only one outcome.,ఈపోతేమరియుఆమె తెలుసు ... ... ఒకే ఫలితం ఉండవచ్చు.
